dc.type.full,dc.identifier.uri,dc.language.iso,dc.date.issued,dc.type.referee,dc.type.circulation,dc.publisher.name,dc.publisher.country,dc.publisher.place,dc.subject.keywords,item.collection,item.openaireRights,dc.authority.people,
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/247129,-,2007,-,internazionale,Progetto Editrice,-,Milano,-,01.1 Articolo in Rivista,none,1,"GALBIATI, MARIA LUISA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/247222,-,2002,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"PONTI, MARCO GUIDO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/247307,-,2005,-,nazionale,Tecniche Nuove,-,Milano,-,01.1 Articolo in Rivista,none,1,"COSTA, FIAMMETTA CARLA ENRICA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/247498,-,2004,-,internazionale,Progetto Editrice,-,Milano,-,01.1 Articolo in Rivista,none,1,"BUCCHETTI, VALERIA LUISA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/248076,-,2002,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"PIARDI, SILVIA ELVIRA MARIA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/248103,eng;ita,2007,-,nazionale,cangemi,-,roma,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,1,"BIAMONTI, ALESSANDRO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/248126,-,2001,-,internazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"SIMONELLI, GIULIANO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/248150,-,2007,-,nazionale,Maggioli,-,Rimini,-,01.1 Articolo in Rivista,none,2,"FERRARIS, SILVIA DEBORAH;TRABUCCO, FRANCESCO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/248165,-,2004,-,internazionale,Progetto Editrice,-,Milano,-,01.1 Articolo in Rivista,none,1,"BUCCHETTI, VALERIA LUISA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/248218,-,2007,-,nazionale,Tecniche Nuove,-,-,-,01.1 Articolo in Rivista,none,2,"F. Procaccini;ROSSI, MAURIZIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/248221,ita,2004,Nessuno,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"SCULLICA, FRANCESCO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/248273,-,2005,-,internazionale,Progetto Editrice s.r.l.,-,Milano,-,01.1 Articolo in Rivista,none,1,"BAULE, GIOVANNI"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/248448,-,2002,-,nazionale,Federtrasporto,-,Roma,-,01.1 Articolo in Rivista,none,1,"PONTI, MARCO GUIDO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/248612,ita,2003,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"PIARDI, SILVIA ELVIRA MARIA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/248613,-,2004,-,nazionale,-,-,-,materioteca; sensorialità,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,1,"ROGNOLI, VALENTINA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/248694,-,2003,-,nazionale,Edizioni Poli.Design,-,Milano,-,01.1 Articolo in Rivista,none,1,"CECONELLO, MAURO ATTILIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/248704,-,2007,-,nazionale,Edizione Il sole 24 ore,-,Faenza,-,01.1 Articolo in Rivista,none,1,"PICCINNO, GIOVANNA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/248747,-,2005,-,internazionale,Progettoeditrice,-,Milano,-,01.1 Articolo in Rivista,none,1,"BAULE, GIOVANNI"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/249162,-,2004,-,nazionale,-,-,-,packaging; sensorialità,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,1,"ROGNOLI, VALENTINA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/249214,-,2002,-,internazionale,Progetto editrice,-,Milano,-,01.1 Articolo in Rivista,none,1,"GALBIATI, MARIA LUISA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/249268,-,2001,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"COSTA, FIAMMETTA CARLA ENRICA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/249320,-,2006,-,nazionale,Edinterni,-,-,-,01.1 Articolo in Rivista,none,1,"DELL'ACQUA BELLAVITIS, ARTURO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/249363,-,2006,-,nazionale,Edizioni Poli.Design,-,Milano,-,01.1 Articolo in Rivista,none,1,"CAPPELLIERI, ALBA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/249379,-,2006,-,nazionale,Moretti&Vitali,-,Bergamo,-,01.1 Articolo in Rivista,none,2,"M. Bonfantini;ZINGALE, SALVATORE"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/249542,-,2003,-,nazionale,Maggioli Editore,-,Rimini,-,01.1 Articolo in Rivista,none,1,"CECONELLO, MAURO ATTILIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/249717,-,2001,-,internazionale,Progetto Editrice,-,Milano,-,01.1 Articolo in Rivista,none,1,"BUCCHETTI, VALERIA LUISA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/249798,ita;eng,2005,-,internazionale,-,-,-,furniture design; prodotto d'arredo,01.1 Articolo in Rivista,none,1,"SCULLICA, FRANCESCO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/250063,-,2001,-,internazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"INGARAMO, MATTEO ORESTE"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/250069,-,2006,-,internazionale,-,-,-,-,01.1 Articolo in Rivista,none,2,"COLORNI VITALE, ALBERTO;R. Wolfler"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/250317,-,2005,-,nazionale,Artek,-,Varese,-,01.1 Articolo in Rivista,none,1,"MERONI, ANNA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/250787,-,2002,-,nazionale,Istituti Editoriali e poligrafici internazionali,ITA,Pisa,-,01.1 Articolo in Rivista,none,1,"PONTI, MARCO GUIDO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/250882,-,2007,-,internazionale,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,1,"PIAZZA, MARIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/251138,-,2007,-,nazionale,Tecniche Nuove,-,-,-,01.1 Articolo in Rivista,none,2,"BOSSI, ELISA;ROSSI, MAURIZIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/251616,ita,2003,-,nazionale,F. Angeli,ITA,-,-,01.1 Articolo in Rivista,none,3,"PONTI, MARCO GUIDO;BRAMBILLA, MARCO GIOVANNI;ERBA, STEFANO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/251780,-,2003,-,nazionale,Edizioni Poli.Design,-,Milano,-,01.1 Articolo in Rivista,none,1,"BREVI, FAUSTO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/251791,ita;eng,2007,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"DOMINONI, ANNALISA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/251913,-,2004,-,internazionale,Progetto editrice,-,Milano,-,01.1 Articolo in Rivista,none,1,"BAULE, GIOVANNI"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/252061,-,2001,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"COSTA, FIAMMETTA CARLA ENRICA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/252063,-,2007,"Sì, ma tipo non specificato",internazionale,Progetto editrice,-,Milano,-,01.1 Articolo in Rivista,none,1,"GUIDA, FRANCESCO ERMANNO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/252164,-,2002,-,internazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"MERONI, ANNA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/252213,-,2006,-,internazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"BAULE, GIOVANNI"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/252240,eng;ita,2006,-,internazionale,Progetto Editrice,-,Milano,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,1,"BUCCHETTI, VALERIA LUISA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/252260,-,2006,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"PONTI, MARCO GUIDO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/252342,eng;ita,2006,"Sì, ma tipo non specificato",internazionale,Progetto editrice,ITA,Milano,-,01.1 Articolo in Rivista,none,1,"GUIDA, FRANCESCO ERMANNO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/252758,-,2005,-,nazionale,Tecniche Nuove,-,Milano,-,01.1 Articolo in Rivista,none,1,"COSTA, FIAMMETTA CARLA ENRICA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/252861,-,2005,-,internazionale,Progetto Editrice Srl,ITA,Milano,-,01.1 Articolo in Rivista,none,1,"QUAGGIOTTO, MARCO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/253253,-,2005,-,nazionale,Tecniche Nuove,-,Milano,-,01.1 Articolo in Rivista,none,1,"COSTA, FIAMMETTA CARLA ENRICA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/253614,-,2003,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"ROGNOLI, VALENTINA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/253882,-,2006,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"DELL'ACQUA BELLAVITIS, ARTURO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/253891,ita,2003,Nessuno,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,2,"SCULLICA, FRANCESCO;SIMONELLI, GIULIANO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/254981,eng;ita,2005,-,internazionale,-,-,-,forniture design; prodotto d'arredo,01.1 Articolo in Rivista,none,1,"SCULLICA, FRANCESCO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/255014,ita,2006,-,nazionale,edizioni artek,ITA,-,-,01.1 Articolo in Rivista,none,2,"L. Orbetegli;VEZZOLI, CARLO ARNALDO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/255060,-,2007,-,nazionale,AIAP,ITA,-,Wayfinding; design,01.1 Articolo in Rivista,none,1,"CIUCCARELLI, PAOLO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/255070,-,2002,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"PONTI, MARCO GUIDO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/255130,-,2007,-,internazionale,Editoriale Domus SpA,ITA,Milano,-,01.1 Articolo in Rivista,none,2,"BOERI, STEFANO;PIAZZA, MARIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/255533,-,2001,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"COSTA, FIAMMETTA CARLA ENRICA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/255546,ita,2007,-,nazionale,-,-,-,hotel design; design degli interni; interior design,01.1 Articolo in Rivista,none,1,"SCULLICA, FRANCESCO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/255599,-,2006,-,nazionale,-,-,Faenza,-,01.1 Articolo in Rivista,none,1,"PICCINNO, GIOVANNA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/255612,-,2004,-,nazionale,Edizioni Poli.Design,-,Milano,-,01.1 Articolo in Rivista,none,1,"NEBULONI, ATTILIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/255702,-,2004,-,internazionale,Progetto editrice,-,Milano,-,01.1 Articolo in Rivista,none,1,"BUCCHETTI, VALERIA LUISA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/255747,-,2001,-,internazionale,Progetto Editrice,-,Milano,-,01.1 Articolo in Rivista,none,1,"BUCCHETTI, VALERIA LUISA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/255960,-,2005,-,internazionale,Progetto Editrice,-,Milano,-,01.1 Articolo in Rivista,none,1,"BAULE, GIOVANNI"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/255993,-,2003,-,nazionale,Progetto editrice,-,Milano,-,01.1 Articolo in Rivista,none,1,"BAULE, GIOVANNI"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/256134,-,2002,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,2,"A. Boitani;PONTI, MARCO GUIDO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/256229,-,2001,-,internazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"INGARAMO, MATTEO ORESTE"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/256621,-,2006,-,internazionale,Progetto Editrice,-,Milano,-,01.1 Articolo in Rivista,none,1,"GUIDA, FRANCESCO ERMANNO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/256624,-,2007,-,internazionale,Progetto Editrice Srl,ITA,Milano,-,01.1 Articolo in Rivista,none,1,"QUAGGIOTTO, MARCO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/256759,-,2004,-,internazionale,Progetto editrice,-,Milano,-,01.1 Articolo in Rivista,none,1,"BAULE, GIOVANNI"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/257086,-,2005,-,nazionale,Edizioni Poli.Design,-,Milano,-,01.1 Articolo in Rivista,none,3,"BLASI, CESARE;NEBULONI, ATTILIO;PADOVANO, GABRIELLA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/257148,eng;ita,2005,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"COLLINA, LUISA MARIA VIRGINIA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/257257,eng;ita,2006,-,nazionale,Mancosu Editore,-,Roma,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,3,"F. Jegou;MANZINI, EZIO;MERONI, ANNA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/257319,-,2004,-,nazionale,Tecniche Nuove,-,Milano,-,01.1 Articolo in Rivista,none,1,"COSTA, FIAMMETTA CARLA ENRICA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/257533,-,2004,-,nazionale,Edizioni Poli.Design,-,Milano,-,01.1 Articolo in Rivista,none,1,"ZURLO, FRANCESCO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/257551,ita,2005,-,nazionale,-,-,-,hotel design; interior design; design degli interni,01.1 Articolo in Rivista,none,2,"SCULLICA, FRANCESCO;SIMONELLI, GIULIANO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/257643,-,2004,-,nazionale,-,-,-,espressività; sensorialità; materiali,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,1,"ROGNOLI, VALENTINA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/257650,eng;ita,2003,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"COLLINA, LUISA MARIA VIRGINIA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/257680,-,2006,-,nazionale,Edizioni Poli.Design,-,Milano,-,01.1 Articolo in Rivista,none,2,"LUPO, ELEONORA;SEASSARO, ALBERTO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/257704,-,2003,-,nazionale,-,-,-,materiale; artificiale,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,1,"ROGNOLI, VALENTINA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/257738,-,2007,-,nazionale,Edinterni,-,Milano,-,01.1 Articolo in Rivista,none,1,"DELL'ACQUA BELLAVITIS, ARTURO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/257971,-,2006,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"DELL'ACQUA BELLAVITIS, ARTURO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/258252,ita,2003,-,nazionale,-,-,-,hotel design; design degli interni; interior design,01.1 Articolo in Rivista,none,2,"SCULLICA, FRANCESCO;SIMONELLI, GIULIANO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/258325,-,2006,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"DELL'ACQUA BELLAVITIS, ARTURO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/258574,-,2003,-,internazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"SIMONELLI, GIULIANO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/258651,-,2006,-,internazionale,Progetto Editrice Srl,ITA,Milano,-,01.1 Articolo in Rivista,none,1,"QUAGGIOTTO, MARCO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/258699,-,2006,-,internazionale,Edizioni Poli.Design,-,Milano,-,01.1 Articolo in Rivista,none,1,"ROSSI, MAURIZIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/258800,ita,2004,-,nazionale,-,ITA,-,-,01.1 Articolo in Rivista,none,8,"PONTI, MARCO GUIDO;C. Borgnolo;MAFFII, SILVIA MARGHERITA;MALGIERI, PATRIZIA;MARTINO, ANGELO;TORTA, FABIO PIETRO;BRAMBILLA, MARCO GIOVANNI;ERBA, STEFANO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/258851,-,2004,-,nazionale,Chiriotti Editori,-,Pinerolo,-,01.1 Articolo in Rivista,none,1,"MERONI, ANNA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/258874,-,2006,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,2,"BERTOLA, PAOLA;CONTI, GIOVANNI MARIA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/259088,-,2002,-,internazionale,Compositori,-,-,-,01.1 Articolo in Rivista,none,1,"BUCCHETTI, VALERIA LUISA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/259183,-,2003,-,nazionale,Federtrasporto,ITA,Roma,-,01.1 Articolo in Rivista,none,1,"PONTI, MARCO GUIDO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/259283,-,2004,-,nazionale,Novega Edizioni,-,Milano,-,01.1 Articolo in Rivista,none,1,"MAJA, ROBERTO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/259357,-,2006,-,nazionale,Maggioli,-,Rimini,-,01.1 Articolo in Rivista,none,1,"CECONELLO, MAURO ATTILIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/259716,-,2002,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"INGARAMO, MATTEO ORESTE"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/259815,-,2005,-,internazionale,Progetto Editrice,-,Milano,-,01.1 Articolo in Rivista,none,1,"BUCCHETTI, VALERIA LUISA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/259961,-,2001,-,internazionale,Maggioli,-,Rimini,-,01.1 Articolo in Rivista,none,1,"PIARDI, SILVIA ELVIRA MARIA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/259969,-,2007,-,nazionale,Maggioli,-,Rimini,-,01.1 Articolo in Rivista,none,1,"CECONELLO, MAURO ATTILIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/260219,ita,2004,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"DOMINONI, ANNALISA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/260246,-,2005,-,internazionale,Progetto Editrice,-,Milano,-,01.1 Articolo in Rivista,none,1,"BUCCHETTI, VALERIA LUISA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/260271,-,2001,-,nazionale,Alberto Greco Editore,-,Milano,-,01.1 Articolo in Rivista,none,1,"PIARDI, SILVIA ELVIRA MARIA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/260421,ita,2004,-,nazionale,-,-,-,hotel design; interior design; design degli interni,01.1 Articolo in Rivista,none,2,"SCULLICA, FRANCESCO;SIMONELLI, GIULIANO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/260560,-,2005,-,nazionale,Artek,-,Varese,-,01.1 Articolo in Rivista,none,1,"COSTA, FIAMMETTA CARLA ENRICA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/260581,-,2006,-,nazionale,Edinterni,-,-,-,01.1 Articolo in Rivista,none,1,"DELL'ACQUA BELLAVITIS, ARTURO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/260598,-,2004,-,nazionale,Novega Edizioni,-,Milano,-,01.1 Articolo in Rivista,none,1,"MAJA, ROBERTO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/260620,ita,2005,-,internazionale,Edizioni Poli.Design,-,Milano,-,01.1 Articolo in Rivista,none,2,"CASTELLI, ANTONELLA;VILLARI, BEATRICE"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/260728,-,2007,-,nazionale,Umberto Allemandi,-,Torino,-,01.1 Articolo in Rivista,none,1,"CAPPELLIERI, ALBA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/260942,-,2005,-,nazionale,Edizioni Poli.Design,-,Milano,-,01.1 Articolo in Rivista,none,3,"BLASI, CESARE;NEBULONI, ATTILIO;PADOVANO, GABRIELLA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/261019,-,2007,-,nazionale,Artek Editore,-,Varese,-,01.1 Articolo in Rivista,none,1,"MERONI, ANNA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/261110,-,2004,-,nazionale,Edi.Ermes srl,-,Milano,-,01.1 Articolo in Rivista,none,1,"CANINA, MARIA RITA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/261250,-,2002,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,1,"PONTI, MARCO GUIDO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/261306,-,2004,-,nazionale,Fin-Mark srl,-,Bologna,-,01.1 Articolo in Rivista,none,2,"ANSELMI, LAURA;MUSCHIATO, SABRINA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/261455,-,2006,-,nazionale,Umberto Allemandi,-,Torino,-,01.1 Articolo in Rivista,none,1,"CAPPELLIERI, ALBA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/261616,ita;eng,2003,-,-,-,-,-,-,01.1 Articolo in Rivista,none,1,"DOMINONI, ANNALISA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/261836,-,2006,-,nazionale,Mancosu,-,Roma,-,01.1 Articolo in Rivista,none,1,"BUCCHETTI, VALERIA LUISA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/261905,-,2004,-,nazionale,-,-,-,-,01.1 Articolo in Rivista,none,1,"COLORNI VITALE, ALBERTO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/262033,-,2004,-,nazionale,Edizioni Poli.Design,-,Milano,-,01.1 Articolo in Rivista,none,2,"GALBIATI, MARIA LUISA;MATTANA, WALTER"
