dateissued	typefull	identifier	title	dc.mainAuthor	dc.section	dc.ssid	dc.keywords
2020	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311970790	Energy Efficiency   Environmental Design perspective	Ranci Ortigosa Costanzo	Not in design department	ICAR/13 - Disegno Industriale	environmental;perspective
2019	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111057581	Digitalize Limits  Increased Capability Technology  Overcome Human Mechanisms	Stepanovic Mila	Design e Culture	ICAR/13 - Disegno Industriale	human;tech
2019	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111062418	Ceramica  carta  produzione nella pubblicit� delle riviste Ceramics  paper Tiles  magazines advertisements	Feraboli Maria Teresa	Design e Culture	ICAR/18 - Storia Dell'Architettura	era;pubblici;carta;ceramics;car
2018	 ALTRO Design	httphandlenet113111053286	Maglia Punto Quarant'anni  tesori nascosti dell'archivio 	Gaddi Rossana	Design di Prodotti Strategie e Servizi	ICAR/16 - Architettura Degli Interni E Allestimento	archivio;costi
2018	 ALTRO Mostra	httphandlenet113111052994	Maglia Punto Quarant'anni  tesori nascosti nella storia dell'archivio 	Visconti Pamela	No section	ICAR/13 - Disegno Industriale	archivio;costi
2018	 BREVETTO Brevetto	httphandlenet113111059394	PLURISENSORIAL SYSTEM ADAPTED   PREVENTION  PROFESSIONAL DISEASES   WORKING ENVIRONMENT  METHOD      SYSTEM	Ferraro Venere	Design di Prodotti Strategie e Servizi	ICAR/13 - Disegno Industriale	senso;system;venti
2018	 BREVETTO Brevetto	httphandlenet113111059395	WEARABLE DEVICE  CONTROLLING GASEOUS POLLUTANTS	Ferraro Venere	Design di Prodotti Strategie e Servizi	ICAR/13 - Disegno Industriale	controlli
2018	 Contributo  Atti  convegno	httphandlenet113111044238	Costruire identitaﾠ	Bisson Mario	Design e Culture	ICAR/13 - Disegno Industriale	identitaﾠ;costruire
2018	 Contributo  Atti  convegno	httphandlenet113111046117	Female Design  Architectural Archives  Italy  Preliminary Investigation among Online Search Tools	Feraboli Maria Teresa	Design e Culture	ICAR/18 - Storia Dell'Architettura	online;line
2018	 Contributo  Atti  convegno	httphandlenet113111049499	Conferenza Internazionale  Foglio Tech Festival Linnovazione guidata dalla idee	Giambruno Maria Cristina	Not in design department	ICAR/13 - Disegno Industriale	innovazione;idee;azione;tech;data
2018	 Contributo  Atti  convegno	httphandlenet113111049500	Italian Design  2018 Stoccolma  marzo 2018    design    save  planet	Giambruno Maria Cristina	Not in design department	ICAR/13 - Disegno Industriale	italia;mar
2018	 Contributo  Atti  convegno	httphandlenet113111051866	Closing  loop Project   research project   designer Francesca Pievani about  upgrade  waste material   sustainable innovation   fashion sector	Gaddi Rossana	Design di Prodotti Strategie e Servizi	ICAR/16 - Architettura Degli Interni E Allestimento	research;fashion;sustainable;project
2018	 Contributo  Atti  convegno	httphandlenet113111052311	Plug Social   esperimento  misura  collaborazione  narrazione  comunitaﾠ	Ciancia Mariana	Design di Prodotti Strategie e Servizi	ICAR/13 - Disegno Industriale	comunitaﾠ;azione;collaborazione;ora;comuni;lab;esperimento
2018	 Contributo  Atti  convegno	httphandlenet113111052313	Progettare  comunicazione sociale attraverso sistemi  narrazione Unesperienza didattica  segno dellagire sostenibile	Galbiati Maria Luisa	Design di Prodotti Strategie e Servizi	ICAR/13 - Disegno Industriale	sistemi;comunicazione;sociale;esperienza;atti;attraverso;verso;azione;temi;comuni;segno
2018	 Contributo  Atti  convegno	httphandlenet113111054652	Synesthetic translation  theoretical framework	Volonterio Riccardo	Not in design department	SPS/08 - Sociologia Dei Processi Culturali E Comunicativi	reti;framework;trans
2018	 Contributo  Atti  convegno	httphandlenet113111054653	Design  health  wellbeing  case  synesthetic design	Gambera Davide Antonio	Not in design department	ICAR/13 - Disegno Industriale	case
2018	 Contributo  Atti  convegno	httphandlenet113111054654	SYNAESTHETIC  HAPTIC EXPERIENCES  DESIGN EDUCATING   INTERNATIONAL FRAMEWORK	Aceti Alessandro	Not in design department	"""#N/A"""	experience;framework
2018	 Contributo  Atti  convegno	httphandlenet113111054659	Synaesthesia  China 20162017	xiong	-0	-0	
2018	 Contributo  Atti  convegno	httphandlenet113111054900	INDUSTRY  UNIVERSITIES  COMPANIES TOGETHER  COMBINE RESEARCH  BUSINESS	Palmieri Stefania	Design e Culture	ICAR/13 - Disegno Industriale	research;business;siti
2018	 Contributo  Atti  convegno	httphandlenet113111055716	Waterborne Hybrid SilicaAlumina Coating  Increase Poplar Wood Application Opportunities	Dastoli Caterina	No section	SPS/07 - Sociologia Generale	applicati
2018	 Contributo  Atti  convegno	httphandlenet113111056013	PolyPaper  Innovative Thermoplastic Composite Material Recyclable with Paper  Cardboard	Santi Romina	Not in design department	ICAR/13 - Disegno Industriale	board;lab;car
2018	 Contributo  Atti  convegno	httphandlenet113111056638	 Materials Towards  Interpretation  Material Qualities Through Interactive Connected  Smart Materials	Parisi Stefano	Not in design department	ICAR/13 - Disegno Industriale	era;through;connected;mar
2018	 Contributo  Atti  convegno	httphandlenet113111057024	Mybias  based Tool  Overcome Designers Biases  Heterogeneous Design Teams	Mattioli Francesca	Not in design department	L-ART/02 - Storia Dell'Arte Moderna	base
2018	 Contributo  Atti  convegno	httphandlenet113111057087	Educating designers through Materials Club	Zhou Ziyu	No section	SPS/08 - Sociologia Dei Processi Culturali E Comunicativi	through;club
2018	 Contributo  Atti  convegno	httphandlenet113111057274	  Special Seminar  service design unfolding  proof  concept	Seminara Daniela Maria Rosa	Not in design department	ICAR/13 - Disegno Industriale	service;concept;proof
2018	 Contributo  Atti  convegno	httphandlenet113111057408	Location Based Mobile Games  educational means   case   Fellowship   Umbrella	scianname�	-0	-0	case;base;games
2018	 Contributo  Atti  convegno	httphandlenet113111057414	Design Digital Fabrication   Printing  Crash Course  Design Students	Dastoli Caterina	No section	SPS/07 - Sociologia Generale	fabrica;fab
2018	 Contributo  Atti  convegno	httphandlenet113111057506	Service design   shared mobility sector  freefloating bike sharing model	Cacciamatta Silvia	Design e Culture	ICAR/13 - Disegno Industriale	mobili;service;sharing
2018	 Contributo  Atti  convegno	httphandlenet113111057507	About evaluation  service design       could evolve	Foglieni Francesca	Not in design department	ICAR/16 - Architettura Degli Interni E Allestimento	service
2018	 Contributo  Atti  convegno	httphandlenet113111057588	Knitwear Design Teaching within Italy     comparison between  industryfocused approach   creativityfocused 	Motta Martina	No section	ICAR/13 - Disegno Industriale	creativi;between;focus
2018	 Contributo  Atti  convegno	httphandlenet113111058522	Fostering  sustained design capability  designintensive organizations  knowledge transfer perspective	De Moura Lima Filipe Andre	No section	ICAR/13 - Disegno Industriale	led;knowledge;trans;perspective
2018	 Contributo  Atti  convegno	httphandlenet113111058523	Developing recovery oriented services  production  mental healthcare Building   existing promising organisational practices	Carrera Marta	Design e Culture	ICAR/13 - Disegno Industriale	service;practice;building;car;eco;healthcare;oriented
2018	 Contributo  Atti  convegno	httphandlenet113111058524	Envisioning  evolving Future evolution   concept   practice  service design	Sangiorgi Daniela	No section	ICAR/13 - Disegno Industriale	service;concept;practice
2018	 Contributo  Atti  convegno	httphandlenet113111058526	Service designers unite Identifying shared concerns among multidisciplinary perspectives  service design	Prestes Joly Ma�ra	PhD student	ICAR/13 - Disegno Industriale	service;multi;perspective
2018	 Contributo  Atti  convegno	httphandlenet113111058893	Design Craft  Government	Mortati Marzia	Design di Prodotti Strategie e Servizi	ICAR/13 - Disegno Industriale	
2018	 Contributo  Atti  convegno	httphandlenet113111058966	FASHION IDENTITY  CULTURE   CHINESE FASHION SYSTEM CHINA INSPIRATION  CHINESE FASHION DESIGNERS	Gaddi Rossana	Design di Prodotti Strategie e Servizi	ICAR/16 - Architettura Degli Interni E Allestimento	fashion;system;cult
2018	 Contributo  Atti  convegno	httphandlenet113111059669	Does  Familiarity  Road Regulation Contribute  Driving Violation  Simulated Study  Familiar  Unfamiliar Road Intersections among Young Chinese Drivers	Huang Siyuan	No section	ICAR/13 - Disegno Industriale	drivers;road;study
2018	 Contributo  Atti  convegno	httphandlenet113111061225	 exploration  Interaction Design Methodologies  Education Comparing Professional  Educational Approaches  Investigating  Role  Local Design Cultures	Aceti Alessandro	Not in design department	"""#N/A"""	era;ora;interaction;cult
2018	 Contributo  Atti  convegno	httphandlenet113111061243	 Crowdfunding Platforms   Tool  Designers  create Connected Objects	Pillan Margherita	Design di Prodotti Strategie e Servizi	ICAR/13 - Disegno Industriale	connected
2018	 Contributo  Atti  convegno	httphandlenet113111061251	 paradigms related  community building  identity  service design Exploring global  local design initiatives	frolunde	-0	-0	service;building
2018	 Contributo  Atti  convegno	httphandlenet113111061880	Teaching Design  Europe Challenges  Trends	Pinna Claudia	Not in design department	ICAR/13 - Disegno Industriale	euro
2018	 Contributo  Atti  convegno	httphandlenet113111062482	Design tools  materials teaching Bridging   between theoretical knowledge  professional practice	Piselli Agnese	Not in design department	ICAR/13 - Disegno Industriale	reti;led;knowledge;practice;between
2018		httphandlenet113111063362	Design  Sustainability  Fashion Accessory  sustainable design methodologies  applied   design process	Aceti Alessandro	Not in design department	"""#N/A"""	accesso;fashion;sustainable;sustainability
2018	 Contributo  Atti  convegno	httphandlenet113111063946	Developing  Design Toolkit   Internet  Things	Vitali Ilaria	No section	ICAR/13 - Disegno Industriale	
2018	 Contributo  Atti  convegno	httphandlenet113111065296	 transition    university campus   opportunity   urban regeneration   former milan expo 2015 areas	Trapani Paola Maria	No section	ICAR/13 - Disegno Industriale	era;milan;forme;area;expo;campus;siti;trans
2018	 Contributo  Atti  convegno	httphandlenet113111065676	Queue Formation  Evacuation Modelling  Road Tunnels During Fires	bosco	-0	-0	modelli;road
2018	 Contributo  Atti  convegno	httphandlenet113111065678	TRAM   Quantitative Methodology  Tunnel Risk Analysis	Derudi Marco	Not in design department	ICAR/13 - Disegno Industriale	
2018	 Abstract  Atti  convegno	httphandlenet113111052963	Waterrelated disease control   operation balancing hydropower production  malaria spreading  Kariba reservoir	Bianchini Massimo	Design di Prodotti Strategie e Servizi	ICAR/13 - Disegno Industriale	era
2018	 Contributo  Atti  convegno	httphandlenet113111018735	Design  Territories Approaches  Methodologies   Production  Places	Parente Marina	Design di Prodotti Strategie e Servizi	ICAR/13 - Disegno Industriale	
2018	 Contributo  Atti  convegno	httphandlenet11311762452	Expanding Interior Design through Humanities	Giunta Elena Enrica	Not in design department	ICAR/13 - Disegno Industriale	through;human;humanities;mani
2018	 CURATELA Curatela	httphandlenet113111047158	WHAT'S FASHION IT'S METHOD	lunghi	-0	-0	fashion
2018	 CURATELA Curatela	httphandlenet113111050322	MuVi5 Video  moving image  synesthesia  visual music  MuVi5 Vaﾭdeo  imagen  movimiento sobre sinestesia  maﾺsica visual	Volonterio Riccardo	Not in design department	SPS/08 - Sociologia Dei Processi Culturali E Comunicativi	sinestesia;video
2018	 CURATELA Curatela	httphandlenet113111052991	Maglia punto Quarant'anni  tesori nascosti nell'archivio 	Visconti Pamela	No section	ICAR/13 - Disegno Industriale	archivio;costi
2018	 CURATELA Curatela	httphandlenet113111065156	Sharing design sustainable Innovazione sociale  flusso  mezzi  trasporto sostenibile nelle aree metropolitane  futuro	Giambruno Maria Cristina	Not in design department	ICAR/13 - Disegno Industriale	innovazione;futuro;sociale;azione;aree;sustainable;porto;lusso;metropolitane;sharing;poli
2018	 LIBRO Monografia  trattato scientifico	httphandlenet113111041104	CateneGioielli  storia funzione  ornamento Chains jewellery  history function  ornament	Cappellieri Alba	Design di Prodotti Strategie e Servizi	ICAR/13 - Disegno Industriale	gioielli;jewellery;history;ornamento
2018	 LIBRO Monografia  trattato scientifico	httphandlenet113111044702	Materials that Move Smart Materials Intelligent Design	bengisu	-0	-0	mar
2018	 LIBRO Monografia  trattato scientifico	httphandlenet113111045755	Laboratori d'arredo Didattica  progetti  design  tradizione  innovazione	De Paolis Roberto	Assistant Professor	ICAR/13 - Disegno Industriale	progetti;innovazione;tradizione;atti;laboratori;azione;ora;arredo;lab
2018	 LIBRO Monografia  trattato scientifico	httphandlenet113111048748	Evolving Perspectives  Product Design From Mass Production  Social Awareness	Rampino Lucia Rosa Elena	Design di Prodotti Strategie e Servizi	ICAR/13 - Disegno Industriale	perspective
2018	 LIBRO Monografia  trattato scientifico	httphandlenet113111049832	MASSIVE CODESIGN	Meroni Anna	Design di Prodotti Strategie e Servizi	ICAR/13 - Disegno Industriale	
2018	 LIBRO Monografia  trattato scientifico	httphandlenet113111051184	 Design dellilluminazione dalla cultura  progetto  colore  	Rossi Monica	Not in design department	ICAR/17 - Disegno	cultura;illuminazione;azione;cult
2018	 LIBRO Monografia  trattato scientifico	httphandlenet113111051292	FASHIONabilities Pianificare  gestire  processi  progettazione  prodotto moda	Bertola Paola	Design e Culture	ICAR/13 - Disegno Industriale	prodotto;moda;fashion;azione;gestire;piani;car
2018	 LIBRO Monografia  trattato scientifico	httphandlenet113111051311	SPAZIO  CIBO  RUOLO  DESIGN  PROGETTO DELLALTA CUCINA	Di Prete Barbara	Assistant Professor	ICAR/13 - Disegno Industriale	spazi;ruolo;cibo;cina;alta;cucina
2018	 LIBRO Monografia  trattato scientifico	httphandlenet113111054512	Idee  movimento  valore economico dell'innovazione	Turinetto Marco	Design di Prodotti Strategie e Servizi	ICAR/13 - Disegno Industriale	innovazione;idee;azione;eco
2018	 LIBRO Monografia  trattato scientifico	httphandlenet113111056583	Designing Sustainable Energy   Sustainable ProductService System Design Applied  Distributed Renewable Energy	Vezzoli Carlo Arnaldo	Design di Prodotti Strategie e Servizi	ICAR/13 - Disegno Industriale	service;designing;system;sustainable;products
2018	 LIBRO Monografia  trattato scientifico	httphandlenet113111056593	Sistema ProdutoServia Sustenta Fundamentos	Vezzoli Carlo Arnaldo	Design di Prodotti Strategie e Servizi	ICAR/13 - Disegno Industriale	via;tema
2018	 LIBRO Monografia  trattato scientifico	httphandlenet113111063169	Handbook  Research  Form  Morphogenesis  Modern Architectural Contexts	Marchesi Alessio	Not in design department	L-ART/02 - Storia Dell'Arte Moderna	research;book
2018	 LIBRO Monografia  trattato scientifico	httphandlenet113111065369	TRANSMEDIA DESIGN FRAMEWORK DesignOriented Approach  Transmedia Practice	Ciancia Mariana	Design di Prodotti Strategie e Servizi	ICAR/13 - Disegno Industriale	practice;framework;trans;oriented
2018	 LIBRO Monografia  trattato scientifico	httphandlenet113111065599	Monoloco stories	Simionato Barbara	Not in design department	ICAR/13 - Disegno Industriale	storie
2018	 CONTRIBUTO  RIVISTA Articolo  Rivista	httphandlenet113111043419	Bottom Infrastructures Aligning Politics  Technology  building  Wireless Community Network	Crabu Stefano	Design di Prodotti Strategie e Servizi	SPS/07 - Sociologia Generale	wireless;network;building;tech;poli
2018	 CONTRIBUTO  RIVISTA Articolo  Rivista	httphandlenet113111044726	Service Design   Approach  Implement  Value Cocreation Perspective   Service Development	Aceti Alessandro	Not in design department	"""#N/A"""	service;perspective
2018	 CONTRIBUTO  RIVISTA Articolo  Rivista	httphandlenet113111047448	 wine   bottles   bottles   wine Product language approaches  designintensive industries during technological turmoil	Cautela Cabirio	Design di Prodotti Strategie e Servizi	ICAR/13 - Disegno Industriale	tech
2018	 CONTRIBUTO  RIVISTA Articolo  Rivista	httphandlenet113111047660	Exploring  transformative impacts  service design  role  designerclient relationships   service development process	Aceti Alessandro	Not in design department	"""#N/A"""	service;trans;relationship
2018	 CONTRIBUTO  RIVISTA Articolo  Rivista	httphandlenet113111048283	Mario Tedeschi arte interni  architettura   archivio ritrovato	Feraboli Maria Teresa	Design e Culture	ICAR/18 - Storia Dell'Architettura	architettura;arte;interni;archivio;mario;mar
2018	 CONTRIBUTO  RIVISTA Articolo  Rivista	httphandlenet113111049918	 special  arising   optimization  waste disposal  real case	Aringhieri Roberto	Not in design department	ICAR/19 - Restauro	case;real
2018	 CONTRIBUTO  RIVISTA Articolo  Rivista	httphandlenet113111052960	Sistema infrastrutturale esistente proposta   metodo  gestione	Villani Paola Maria Chiara	Not in design department	ICAR/13 - Disegno Industriale	metodo;post;tema
2018	 CONTRIBUTO  RIVISTA Articolo  Rivista	httphandlenet113111052969	Creativity  expertise  graphic design  Made  Italy	Guida Francesco Ermanno	Design e Culture	ICAR/13 - Disegno Industriale	creativi
2018	 CONTRIBUTO  RIVISTA Articolo  Rivista	httphandlenet113111054599	 centered information system   documentation   complex restoration intervention	apollonio	-0	-0	system;interventi;venti;ora;center
2018	 CONTRIBUTO  RIVISTA Articolo  Rivista	httphandlenet113111057659	Teaching Knitwear Design Design Practice  Traditional Manual Knowledge Innovation	Motta Martina	No section	ICAR/13 - Disegno Industriale	led;knowledge;practice
2018	 CONTRIBUTO  RIVISTA Articolo  Rivista	httphandlenet113111060739	Editoriale	Irace Fulvio	Design e Culture	ICAR/18 - Storia Dell'Architettura	editoriale
2018	 CONTRIBUTO  RIVISTA Articolo  Rivista	httphandlenet113111060746	Luigi Caccia Dominioni l'architetto   suoi artigiani	Feraboli Maria Teresa	Design e Culture	ICAR/18 - Storia Dell'Architettura	arti;suoi;luigi
2018	 CONTRIBUTO  RIVISTA Articolo  Rivista	httphandlenet113111060747	Fabbriche d'autore	Feraboli Maria Teresa	Design e Culture	ICAR/18 - Storia Dell'Architettura	fab;autore
2018	 CONTRIBUTO  RIVISTA Articolo  Rivista	httphandlenet113111065133	Researching Design Policy Ecosystems  Europe	Mortati Marzia	Design di Prodotti Strategie e Servizi	ICAR/13 - Disegno Industriale	research;system;euro;eco;poli
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111043568	smart Materials  Binomial   Future	lucibello	-0	-0	mar
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111043862	Design   collaborative multistakeholder ecosystem Growing social innovation through crosssector partnerships	Corubolo Marta	No section	L-ART/04 - Museologia E Critica Artistica E Del Restauro	system;through;ora;cross;lab;eco;multi
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111044051	Developing Design Capabilities   Third Sector Leveraging Social Transformation through  Designerly Organisational Design Approach	Aceti Alessandro	Not in design department	"""#N/A"""	era;through;trans
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111044154	Engaged Designers  Social Commuters	Volonterio Riccardo	Not in design department	SPS/08 - Sociologia Dei Processi Culturali E Comunicativi	
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111044161	Mapping  materials Interactive connected  smart materials	Parisi Stefano	Not in design department	ICAR/13 - Disegno Industriale	era;connected;mar
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111045611	From Social Design  Design  Social Innovation	Rizzo Giovanna	Not in design department	ICAR/13 - Disegno Industriale	
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111045622	Tell   story   should  real Design practice  transmedia journalism	Ciancia Mariana	Design di Prodotti Strategie e Servizi	ICAR/13 - Disegno Industriale	practice;trans;real
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111045633	Design  Social Innovators	Meroni Anna	Design di Prodotti Strategie e Servizi	ICAR/13 - Disegno Industriale	
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111046090	 Specificity  Design Research  PracticeBased Design Knowledge  Enter  Great Archive  Science	volont�	-0	-0	city;research;led;base;knowledge;practice
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111046109	 figura dello stilista	Volonterio Riccardo	Not in design department	SPS/08 - Sociologia Dei Processi Culturali E Comunicativi	stili
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111046376	 figure   stilista	Volonterio Riccardo	Not in design department	SPS/08 - Sociologia Dei Processi Culturali E Comunicativi	figure;stili
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111047161	 Italian Fashion Model Design from Strategy  Creativity  Manufacture	Turinetto Marco	Design di Prodotti Strategie e Servizi	ICAR/13 - Disegno Industriale	italia;creativi;fashion
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111047632	Consonanze sinestesiche  costante reciprocit� traduttiva	Baule Giovanni	Design e Culture	ICAR/13 - Disegno Industriale	
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111049716	Progetti  Projects	Blasi Cesare	Not in design department	ICAR/13 - Disegno Industriale	progetti;project
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111049883	Design  territorio  rapporto  evoluzione	Parente Marina	Design di Prodotti Strategie e Servizi	ICAR/13 - Disegno Industriale	rapporto;porto
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111049909	Didattica  esperienze professionalizzanti  caso  Concorso  DESIGN AWARD 2015	Parente Marina	Design di Prodotti Strategie e Servizi	ICAR/13 - Disegno Industriale	caso;atti;concorso;corso
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111050044	Energy  sustainable development	Vezzoli Carlo Arnaldo	Design di Prodotti Strategie e Servizi	ICAR/13 - Disegno Industriale	sustainable
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111050346	Visual Music Imagining Translating Configuring  Visual music  Immaginare Tradurre Configurare	ricc�	-0	-0	trans
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111050347	MuVi5 Geometries Texture Digital Materiality  Muvi5 Geometr�as Texture Materialidad digital  Muvi5 Geometrie Texture Matericit� digitale	ricc�	-0	-0	materiali;digitale
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111050349	PLSS Point Line Plane Sound  Punto Linea Superficie Suono	ricc�	-0	-0	superficie;line;suono
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111051170	Strumenti  metodi  design strategico   valorizzazione degli itinerari culturali   percorsi tematici transfrontalieri  Italia  Svizzera  caso studio della  Regina	De Paolis Roberto	Assistant Professor	ICAR/13 - Disegno Industriale	italia;era;cultura;studi;caso;valori;valorizzazione;azione;valorizza;itinerari;corsi;cult;tema;trans;svizzera
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111052993	 ricerca Digiknit	Visconti Pamela	No section	ICAR/13 - Disegno Industriale	ricerca
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111053109	 sistema della moda  Italia cambiamenti strutturali  profili professionali	ricchetti	-0	-0	italia;moda;tema
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111053112	Italianway  Entrepreneurial Innovation  Hospitality  Contemporary Cities	Seminara Daniela Maria Rosa	Not in design department	ICAR/13 - Disegno Industriale	italia;tempo;ora;cities
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111053283	 moda   bandiera  ragioni  un'eccellenza culturale  territoriale  Fashion   flag  reasons   cultural  territorial excellence	Gaddi Rossana	Design di Prodotti Strategie e Servizi	ICAR/16 - Architettura Degli Interni E Allestimento	era;cultura;moda;fashion;cult
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111053284	 moda esposta  progetto  comunicazione della mostra  Fashion  show  communication project   exhibition	Gaddi Rossana	Design di Prodotti Strategie e Servizi	ICAR/16 - Architettura Degli Interni E Allestimento	comunicazione;moda;mostra;fashion;azione;post;comuni;exhibition;project
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111054374	Fast forward design economies  practice   near future	Mortati Marzia	Design di Prodotti Strategie e Servizi	ICAR/13 - Disegno Industriale	practice;eco
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111054901	INDUSTRIA 	Palmieri Stefania	Design e Culture	ICAR/13 - Disegno Industriale	
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111056064	 donne dellﾒAiap delle origini Professioniste  pioniere Women  Aiapﾒs early days Professionals  pioneers	Guida Francesco Ermanno	Design e Culture	ICAR/13 - Disegno Industriale	donne
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111056225	Chapter  Digital Diorama  Interactive Multimedia Resource  Learning  Life Sciences	poli	-0	-0	era;learning;ora;life;multi;source
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111056585	 foglie dellﾒAlbertolli   disegno come esercizio della mente agli albori della cultura politecnica italiana	Rossi Monica	Not in design department	ICAR/17 - Disegno	italia;cultura;esercizio;cult;poli;segno
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111057587	   maglieria italiana  realt� d'eccellenza dietro  brand della moda	Motta Martina	No section	ICAR/13 - Disegno Industriale	italia;moda;brand;maglieria;real
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111057696	Echi della tradizione boitiana nella scuola italiana  architettura  design ricordo  Luca Scacchetti	Baila Angela	Not in design department	ICAR/13 - Disegno Industriale	italia;architettura;tradizione;scuola;luca
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111060330	 charm  nonchalant elegance Stories  Sicilian tailoring  	Visconti Pamela	No section	ICAR/13 - Disegno Industriale	storie
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111060720	Stile Borsani dall'atelier alla fabbrica	Irace Fulvio	Design e Culture	ICAR/18 - Storia Dell'Architettura	fab
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111060732	 Bottega	Irace Fulvio	Design e Culture	ICAR/18 - Storia Dell'Architettura	
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111061079	Fare ricerca attraverso  progetto	Ferraro Venere	Design di Prodotti Strategie e Servizi	ICAR/13 - Disegno Industriale	ricerca;attraverso;verso;fare
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111061653	Workshop internazionali extracurricolari lﾒesperienza   importante  crediti	Ferraris Silvia Deborah	Design di Prodotti Strategie e Servizi	ICAR/13 - Disegno Industriale	internazionali;esperienza;workshop;porta
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111061654	Microstorie  didattica  progetto nell'universit� italiana	Ferraris Silvia Deborah	Design di Prodotti Strategie e Servizi	ICAR/13 - Disegno Industriale	italia;storie;atti;micro
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111062280	Storie dentro fotografie	Zingale Salvatore	Design e Culture	M-FIL/05 - Filosofia E Teoria Dei Linguaggi	storie;fotografi;dentro
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111062424	 museo vivente Ettore Modigliani Fernanda Wittgens   ricostruzione  Brera	Irace Fulvio	Design e Culture	ICAR/18 - Storia Dell'Architettura	era;museo;modi;vivente
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111062425	Palladian Chipperfield	Irace Fulvio	Design e Culture	ICAR/18 - Storia Dell'Architettura	
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111062428	L'Usine Verte Guido Canali  Valverde	Irace Fulvio	Design e Culture	ICAR/18 - Storia Dell'Architettura	verde
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111063945	Empowering Locals Through Service Design  Social Innovation  MakeinProgress Case Study	Arquilla Venanzio	Design di Prodotti Strategie e Servizi	ICAR/13 - Disegno Industriale	service;case;through;study
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111064103	Praticare teoria	Pizzocaro Silvia Luisa	Design e Culture	ICAR/13 - Disegno Industriale	car
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111064243	Therapeutic Habitat  ricerca dottorale	Gramegna Silvia Maria	No section	ICAR/13 - Disegno Industriale	ricerca;era;ora;dottorale
2018	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111064411	  Compasso d'Oro Ediz italiana  inglese	Zurlo Francesco	Design di Prodotti Strategie e Servizi	ICAR/13 - Disegno Industriale	italia;oro;inglese;passo;compasso
