dateissued	typefull	identifier	title	descriptionallpeople																																		
2003	 ALTRO Progetti	httphandlenet11311667405	Concorso internazionale  progettazione   fasi Mille idee   concorso   costruzione della nuova sede dell'Istituto Zooprofilattico Sperimentale dell'Abruzzo   Molise Teramo	 Avallone  Cocciolito   Galdo  Lupoi  Musmeci  Orsi   Pierluisi  Sciolari																																		
2003	 ALTRO Progetti	httphandlenet11311689382	Nuova Sede  Consiglio Regionale	 Portoghesi  Blasi  Padovano  Nebuloni  Ruscelli																																		
2003	 ALTRO Progetti	httphandlenet11311689384	Centro Europeo   Creativita  Emergenti  concorso internazionale  Tabacchificio Centola	 Blasi  Nebuloni  Padovano																																		
2004	 ALTRO Altro	httphandlenet11311533385	 PROFESSIONI DELLA TELEVISIONELEZIONE MULTIMEDIALE  	 GALBIATI GALLI FRANCESCO																																		
2004	 ALTRO Altro	httphandlenet11311533386	GRUPPO CIMBALIFAEMA  ISTITUZIONALE	 GALBIATI FRANCESCO GALLI																																		
2004	 ALTRO Altro	httphandlenet11311533600	Studio  fattibilita    metrotranvia  Como	 COLORNI VITALE  CICCARELLI    ROSSI																																		
2004	 ALTRO Altro	httphandlenet11311533601	 Sistema DREAMS Demand Responsive Extended Area Mobility Services	 COLORNI VITALE  CICCARELLI    MORROCCHI  ROSSI																																		
2004	 ALTRO Progetti	httphandlenet11311664582	Sistema  identita  visiva  Palazzo    Carpi	Francesco  Guida																																		
2004	 ALTRO Progetti	httphandlenet11311665878	Piano  marketing territoriale  larea dellOltrepa Mantovano	 Schiaffonati  Stevan  Mussinelli  Casoni  Celaschi  Fanzini  Trocchianesi																																		
2004	 ALTRO Progetti	httphandlenet11311689386	Concorso  idee   centro socioricreativo  realizzare sullarea pubblica denominata Nava	 Nebuloni  Bosia  Bosia  Besseghini  Malvestiti																																		
2005	 ALTRO Design	httphandlenet11311958792	Picasso  seduzione  classico	Gaddi Mariani																																		
2005	 ALTRO Altro	httphandlenet11311533387	MANTEROMOOD MULTIMEDIALE	 GALBIATI FRANCESCO GALLI																																		
2005	 ALTRO Altro	httphandlenet11311687794	 tecnologie dellinformazione  della comunicazione   sviluppo locale	 Manzini  Rizzo																																		
2005	 ALTRO Progetti	httphandlenet11311638720	Biblioteca  Storia dell'Arte  restauro della Manica Lunga	  Lucchi																																		
2005	 ALTRO Progetti	httphandlenet11311645335	Sistema  ufficio 	  Lucchi																																		
2005	 ALTRO Progetti	httphandlenet11311667397	Concorso Internazionale Europan  Urbanita  europea  progetti strategici sito  Antalya Turchia	 Avallone  Forte  Pierluisi																																		
2006	 ALTRO Design	httphandlenet11311958790	Rena Magritte L'impero delle luci	Gaddi Mariani																																		
2006	 ALTRO Esposizione	httphandlenet11311690252	 Italian Design	Branzi  Biamonti  Macchi 																																		
2006	 ALTRO Mostra	httphandlenet11311758849	Texture  Materials  Urban Light Walk	 Gerosa																																		
2006	 ALTRO Altro	httphandlenet11311252025	Puntare sulla gente  vendere  	 Zurlo																																		
2006	 ALTRO Altro	httphandlenet11311268468	 Entertainment  Design Strategico	 Zurlo																																		
2006	 ALTRO Altro	httphandlenet11311533312	 Archivio Digitale  Architettura	MINGUCCI  AMORUSO  INGLESE  MARATA BACCI BARTOLOMEI  ANGELILLO																																		
2006	 ALTRO Altro	httphandlenet11311533523	Moda  Design Cross Fertilization  l'innovazione	 CONTI  BERTOLA																																		
2006	 ALTRO Altro	httphandlenet11311533556	Suit Biodesign  lidrokinesiterapia	 CANINA VENERE FERRARO																																		
2006	 ALTRO Altro	httphandlenet11311533711	 trasporto delle merci pericolose  galleria	 MAJA RAINOLDI  ROMAN  SALIMBENI 																																		
2006	 ALTRO Altro	httphandlenet11311533712	External Cost Assessment  Transalpine Corridors	 MAJA  ROMANO																																		
2006	 ALTRO Progetti	httphandlenet11311664578	European Logo Design Award EULDA 	Francesco  Guida																																		
2006	 ALTRO Progetti	httphandlenet11311664580	Award  Excellence Communication Arts 	Francesco  Guida																																		
2006	 ALTRO Progetti	httphandlenet11311667394	Concorso  Progettazione Project Financing Metro  Roma Fermate Ojetti  Pugliese  Nuovo Salario	Mandataria Societa  Italiana   Condotte D'acqua Mandante Impresa Pizzarotti  Responsabile  progetto Geodeta   Fioravanti  Galdo Pierluisi																																		
2007	 ALTRO Design	httphandlenet11311958784	 impressionisti  simbolisti   avanguardie  capolavori  museo nazionale  Belgrado	Gaddi																																		
2007	 ALTRO Esposizione	httphandlenet11311696728	Transforme	Conti  Bonapace  Botta  Burani 																																		
2007	 ALTRO Mostra	httphandlenet11311692361	Mostra  giornata  studio  StudioMuseo Achille Castiglioni della Triennale  Milano Scenari  fruizione  prospettive  valorizzazione presso  Triennale  Milano  settembre 2007	 Annicchiarico  Parente  Seassaro																																		
2007	 ALTRO Altro	httphandlenet11311533866	Ernst  Glasersfeld   Italian Operative School	 Pizzocaro  Glanville																																		
2007	 ALTRO Altro	httphandlenet11311565395	 ricerca  piacere	Guida  																																		
2007	 ALTRO Altro	httphandlenet11311667288	Gabriele Pierluisi Paesaggi urbani Marte Roma 2007	Massimiliano Fuksas Camilla Pignatti Morano Marta Fegiz Laura  Iudicibus Gabriele Pierluisi																																		
2007	 ALTRO Progetti	httphandlenet11311667393	Concorso Internazionale  progettazione  Procedura ristretta  MENO    Servizi  spazi pubblici  Roma  Programmi  Trasformazione Urbanistica  Marancia Area  Divino Amore	 Avallone  Forte  Musmeci  Orsi   Pierluisi  Sciolari																																		
2008	 ALTRO Design	httphandlenet11311958787	L'abbraccio  Vienna Klimt Schiele   capolavori  Belvedere	Gaddi																																		
2008	 ALTRO Esposizione	httphandlenet11311881650	Case rapide prefabbricate smontabili	Feraboli 																																		
2008	 ALTRO Mostra	httphandlenet11311692358	Mostra Studio Museo Achille Castiglioni presso Shiodome Italia Creative Center Tokyo	 Annicchiarico  Parente  Seassaro																																		
2008	 ALTRO Mostra	httphandlenet11311925758	FABIO NOVEMBRE Insegna anche    liberta  delle rondini	Beppe Finessi																																		
2008	 ALTRO Altro	httphandlenet11311534030	 grande opera Tutta  valutare	 PONTI  BERIA																																		
2008	 ALTRO Altro	httphandlenet11311546339	Levoluzione  Musei  lInformation  Communication Technology	 Canina  Celino  Frumento  Pagani  Simeoni																																		
2008	 ALTRO Altro	httphandlenet11311546700	Enografie  design racconta  vini  Piemonte	Giovanni Baule Valeria Bucchetti																																		
2008	 ALTRO Altro	httphandlenet11311546702	Interazioni graficostrutturali	Valeria Bucchetti																																		
2008	 ALTRO Altro	httphandlenet11311546712	Superfici  vista  tatto	Valeria Bucchetti																																		
2008	 ALTRO Altro	httphandlenet11311547523	Ottimizzazione della raccolta  Rifiuti  Apparecchiature Elettriche  Elettroniche RAEE	Maurizio Bruglieri Fabiano Cattaneo Andrea Colombo Alberto Colorni																																		
2008	 ALTRO Altro	httphandlenet11311548205	Enografie  design  percorsi narrativi	Giovanni Baule																																		
2008	 ALTRO Altro	httphandlenet11311548276	 futuro dellelearning  gia  passato	 Colorni  Sancassani  Leita																																		
2008	 ALTRO Altro	httphandlenet11311548486	Benefits  problems  learning  Committee  Culture Science  Education Realising  full potential  learning   levels  education	Alberto Colorni Vitale																																		
2008	 ALTRO Altro	httphandlenet11311550760	 passo lento  tunnel	Grimaldi  Ponti 																																		
2008	 ALTRO Altro	httphandlenet11311550761	 sulla MilanoVenezia  conti  tornano	Grimaldi  Ponti 																																		
2008	 ALTRO Altro	httphandlenet11311560608	piattaforma LeNS	Vezzoli 																																		
2008	 ALTRO Altro	httphandlenet11311634054	Leggere  contesto  orientare  progetto Metodologie  approcci   produzione  visualizzazione  conoscenza  orientamento della pratica progettuale  design della moda	Colombi Chiara																																		
2008	 ALTRO Altro	httphandlenet11311689350	Occasioni  complessita  sostenibile  Opportunities  sustainable complexity  Complessita   sostenibilia   territorio  l'architettura  	 Padovano  Blasi  Nebuloni  Anastasio  Arrigoni																																		
2008	 ALTRO Altro	httphandlenet11311689353	 spazi della complessita    spaces  complexity  Complessita   sostenibilia   territorio  l'architettura  	 Padovano  Blasi  Nebuloni  Anastasio  Arrigoni																																		
2008	 ALTRO Altro	httphandlenet11311689354	Tendenze della ricerca universitaria  Complessita   sostenibilia   territorio  l'architettura  	 Padovano  Blasi  Nebuloni  Anastasio  Arrigoni																																		
2008	 ALTRO Altro	httphandlenet11311689355	Oltre l'architettura convenzionale  Beyond conventional architecture  Complessita   sostenibilia   territorio  l'architettura  	 Padovano  Blasi  Nebuloni  Anastasio  Arrigoni																																		
2008	 ALTRO Altro	httphandlenet11311689358	Nuovi spazi interattivi   interactive spaces  Complessita   sostenibilia   territorio  l'architettura  	 Padovano  Blasi  Nebuloni  Anastasio  Arrigoni																																		
2008	 ALTRO Progetti	httphandlenet11311550298	Progettazione della comunicazione visiva  degli apparati comunicativi   Museo Nazionale Archeologico  Taranto	arch Francesco  Guida  direction  Carla  Luca Giovanni Dema Nicola Scotto  Carlo Jaana Zammer collaboratori																																		
2008	 ALTRO Progetti	httphandlenet11311640520	Ponte  accesso  Triennale Design Museum	  Lucchi																																		
2008	 ALTRO Progetti	httphandlenet11311667391	Concorso Internazionale  Progettazione  Grado Unico Ristretto Amamontagnola Roma	 Avallone  Forte  Musmeci  Orsi   Pierluisi  Sciolari																																		
2009	 ALTRO Mostra	httphandlenet11311758847	Time  Design	 Gerosa  Berghinz																																		
2009	 ALTRO Mostra	httphandlenet11311758848	Opening Soon	 Gerosa  Collina  Branzi																																		
2009	 ALTRO Mostra	httphandlenet11311924756	PAOLO ULIAN 19902009	Beppe Finessi																																		
2009	 ALTRO Mostra	httphandlenet11311925361	ANGELO MANGIAROTTI SCOLPIRECOSTRUIRE	Beppe Finessi																																		
2009	 ALTRO Mostra	httphandlenet11311925756	ALESSANDRO MENDINI	Beppe Finessi																																		
2009	 ALTRO Mostra	httphandlenet11311925757	 MANZU Quando  mondo  moderno	Giacinto  Pietrantonio Enrico Leonardo Fagone Beppe Finessi																																		
2009	 ALTRO Altro	httphandlenet11311563684	Propsettive  design   servizi Mobile secondo l'approccio User Centred	 Pillan   Rizzo																																		
2009	 ALTRO Altro	httphandlenet11311564940	Design  L'ambiente	Guida  Chia 																																		
2009	 ALTRO Altro	httphandlenet11311565390	 Identity  Cultural Heritages between Real  Virtual  Languages  Virtuous Devices     Transition	Guida 																																		
2009	 ALTRO Progetti	httphandlenet113111019069	Freesbe Free sound diffusion	Mauri	 Michele Desiato	 Andrea Paolo	 Dusi Napoli	 Mauro																														
2009	 ALTRO Progetti	httphandlenet11311563693	Citymurmur	 Quaggiotto  Caviglia  Graffieti  Granados Lopez  Guido  Ricci  Scagnetti																																		
2009	 ALTRO Progetti	httphandlenet11311564313	  Design Research Maps	 Bertola  maffei  Bianchini  Villari																																		
2009	 ALTRO Progetti	httphandlenet11311640516	 Ponte della Pace Tbilisi Georgia	  Lucchi																																		
2009	 ALTRO Progetti	httphandlenet11311693509	Mediterranean Design  presente  futuro	 Ferrara  Ferrara coordinatori																																		
2010	 ALTRO Design	httphandlenet11311958788	Rubens   fiamminghi	Gaddi																																		
2010	 ALTRO Mostra	httphandlenet11311758842	BiNOMi  Biennale Nord Ovest Milano	 Gerosa																																		
2010	 ALTRO Mostra	httphandlenet11311924758	GIOVANNI LEVANTI	Beppe Finessi																																		
2010	 ALTRO Altro	httphandlenet11311574586	 tunnel dell'Alta Velocita 	 Beria  Grimaldi  Ponti																																		
2010	 ALTRO Altro	httphandlenet11311582027	L'impatto delgi    riduzione  	 Studer  Mauro  																																		
2010	 ALTRO Altro	httphandlenet11311583074	Italian Light Contract	 Turinetto																																		
2010	 ALTRO Altro	httphandlenet11311585672	Choosing between ecology awareness  business	 TURINETTO																																		
2010	 ALTRO Altro	httphandlenet11311585673	Light    product identity	 TURINETTO																																		
2010	 ALTRO Altro	httphandlenet11311585674	Lighting ethics enviroment	 TURINETTO																																		
2010	 ALTRO Altro	httphandlenet11311585675	Individualised Consumption   future industry ready   complex higlydifferentiated market 	 TURINETTO																																		
2010	 ALTRO Altro	httphandlenet11311585676	 living well  today's enviroments	 TURINETTO																																		
2010	 ALTRO Altro	httphandlenet11311692963	 Moda projectada	CHIARA COLOMBI																																		
2010	 ALTRO Progetti	httphandlenet11311583357	 virtuous cities	 Piccinno  Lega  Fassi																																		
2010	 ALTRO Progetti	httphandlenet11311583358	 virtuous cities	 Piccinno  Lega  Fassi																																		
2010	 ALTRO Progetti	httphandlenet11311640515	Parquet Medoc	  Lucchi																																		
2010	 ALTRO Progetti	httphandlenet11311662288	 progetto illuminotecnico   Mostra  Hopper  Roma	Murano																																		
2010	 ALTRO Progetti	httphandlenet11311693098	CONCORSO DIDEE   PROGETTAZIONE  PIAZZA  SETTEMBRE  DEGLI SPAZI ANNESSI	 Gerosa  Fumagalli  Lassandro  Prinzo																																		
2010	 ALTRO Progetti	httphandlenet11311693100	Concorso  idee finalizzato allacquisizione   proposta ideativa  merito alla riqualificazione della piazza Sennorigau  Villagrande Strisaili	 Gerosa  LAssandro  Fumagalli  Prinzo																																		
2011	 ALTRO Design	httphandlenet11311958783	Boldini   Belle Epoque	Gaddi																																		
2011	 ALTRO Mostra	httphandlenet11311766135	Autoproduzioni Italiane	 Maffei  Gianni  Bolzan																																		
2011	 ALTRO Mostra	httphandlenet11311924757	 VASO  FIORE	Beppe Finessi																																		
2011	 ALTRO Altro	httphandlenet11311583475	Lunita  dItalia testimonianze risorgimentalinei musei   territorio della Toscana	Mazzanti																																		
2011	 ALTRO Altro	httphandlenet11311586879	Arena Models Deliverable   Periheria project Grant Agreement number 271015	Concilio  Rizzo 																																		
2011	 ALTRO Altro	httphandlenet11311586880	Deliverable  Scenarios description Deliverable   European Project Life  LIFE 0Geographical positioning services  support independent living  social interaction  elderly people 270965	Rizzo  Costa  Oliva 																																		
2011	 ALTRO Altro	httphandlenet11311605088	Esposizione personale PARISPLIS  Gabriele Pierluisi  cura  Martina Cavallarin  Parigi  2011  2011	gabriele pierluisi																																		
2011	 ALTRO Altro	httphandlenet11311631194	Good Idea  Good Design  Good Service  Learning   evaluate Service Design	 Maffei  Pacenti  Villari																																		
2011	 ALTRO Altro	httphandlenet11311634053	Natural Fashion From symbolic  cognitive innovation through crafts  design	COLOMBI CHIARA																																		
2011	 ALTRO Altro	httphandlenet11311644331	Brevetto Design  forma  tempo  brevetti nella storia  design italiano	 Bosoni																																		
2011	 ALTRO Altro	httphandlenet11311660634	Dust  Visualization Tool Supporting Parents SchoolChoice Evaluation Process	Matteo Azzi Giorgio Caviglia Donato Ricci Paolo Ciuccarelli Emanuele Bonetti Loredana Bontempi																																		
2011	 ALTRO Altro	httphandlenet11311693234	NUTRIRE MILANO Seconda annualita   progetto  Relazione  bilancio	 Meroni  Simeone  Corubolo  Cantu  Piredda  Arossa  Bolzacchini  Cecchini  Nasuelli																																		
2011	 ALTRO Altro	httphandlenet11311693286	Smart Citizens community directory Deliverable  Progetto europeo Peripheria	 Concilio  Rizzo  alii																																		
2011	 ALTRO Altro	httphandlenet11311693292	Sociable Housing	 Meroni  Ferri																																		
2011	 ALTRO Progetti	httphandlenet11311634267	 l'Esposizione  raccomando Milano  lEsposizione internazionale  Sempione  1906  documenti  Castello Sforzesco	 Botti  Cordera  Ricci																																		
2011	 ALTRO Progetti	httphandlenet11311640521	Uffici  Triennale Design Museum	  Lucchi																																		
2011	 ALTRO Progetti	httphandlenet11311641342	Filiali Superflash Intesa Sanpaolo	  Lucchi																																		
2011	 ALTRO Progetti	httphandlenet11311667212	Housing Contest  Bando europeo   formazione   Repertorio  progetti  edifici residenziali  alte prestazioni  basso costo	 Bellini   Scoccimarro   Daglio   Dall'o   Sarto   Sanna   Pili   Morettini   Lugano      Collina   Gerosa   Belletti   Catena																																		
2011	 ALTRO Progetti	httphandlenet11311693096	Concorso nazionale  INTERVENTI  RIQUALIFICAZIONE PAESAGGISTICO  AMBIENTALE  ARCHITETTONICA  PIAZZALE SCOGLI ROSSI  ARBATAX	 Daglio  Gerosa  Fumagalli  Lassandro    Lanzarotti																																		
2011	 ALTRO Progetti	httphandlenet11311693500	Design Mediterraneo  Mediterranean Design 2011	 Ferrara  Calvera coordinatori																																		
2011	 ALTRO Progetti	httphandlenet11311765540	Servizi alla visita dell'area archeologica  competenza  Roma	  Lucchi																																		
2011	 ALTRO Progetti	httphandlenet11311766431	Design  filo della tradizione Strategie  strumenti  valorizzazione  competenze  culture locali  Design   thread  tradition Strategies  instruments  exploit local skills  culture   textile industry	Vacca	 Federica																																	
2011	 ALTRO Progetti	httphandlenet11311959229	Progetto dell'identita  visiva   centocinquantesimo anniversario  Politecnico  Milano	Umberto Tolino																																		
2012	 ALTRO Design	httphandlenet11311703930	Green Connection	Arianna Vignati Alberto Manzoni Valentina Lollio Valentina Rivieccio Marina Caramagno																																		
2012	 ALTRO Design	httphandlenet11311958789	 dinastia Brueghel	Gaddi																																		
2012	 ALTRO Design	httphandlenet11311958793	Brueghel Meraviglie dell'arte fiamminga	Gaddi																																		
2012	 ALTRO Performance	httphandlenet11311731383	ARPA  LUCE	Francesco Murano Gianpietro Grossi Pietro Pirelli																																		
2012	 ALTRO Performance	httphandlenet11311731384	ARPA  LUCE ALLA NOTTE  RICERCATORI  MANTOVA	Francesco Murano Gianpietro Grossi Pietro Pirelli																																		
2012	 ALTRO Mostra	httphandlenet11311686870	Fabio Bortolani  	 Maffei																																		
2012	 ALTRO Mostra	httphandlenet11311692658	Censimento delle architetture Liberty  territorio  Varese Area nord sentiero 	Anzani  Condoleo  Baila  Caramel  Guarisco 																																		
2012	 ALTRO Mostra	httphandlenet11311731377	LUCI SULLE MURA	Francesco Murano																																		
2012	 ALTRO Mostra	httphandlenet11311766134	AnalogicoDigitale	 Maffei  Micelli  Bolzan  Pirovano  Gianni																																		
2012	 ALTRO Prototipo d'arte  relativi progetti	httphandlenet11311731378	Magic Thinks	Murano  Fenoglio 																																		
2012	 ALTRO Prototipo d'arte  relativi progetti	httphandlenet11311731385	LASER PENDULUM	Francesco Murano Gianpietro Grossi Pietro Pirelli																																		
2012	 ALTRO Cartografia	httphandlenet113111019572	Viaggiando Liberty Percorsi  architettura lungo  sentieri  parco Mappa tematica	Anzani  Baila  Caramel  Guarisco   Pozzi 																																		
2012	 ALTRO Altro	httphandlenet11311642963	Complessita  Sostenibilita  Progetto  12012 gennaiomarzo 2012	 Nebuloni																																		
2012	 ALTRO Altro	httphandlenet11311652136	Complessita  Sostenibilita  Progetto  22012 aprilegiugno 2012	 Nebuloni																																		
2012	 ALTRO Altro	httphandlenet11311664624	Catalogo Salone Satellite 2012	 Maffei  Legrenzi																																		
2012	 ALTRO Altro	httphandlenet11311667247	Esposizione personale  disegni d'architettura design citta 	Pierluisi																																		
2012	 ALTRO Altro	httphandlenet11311669783	Complessita  Sostenibilita  Progetto  32012 lugliosettembre 2012	 Nebuloni																																		
2012	 ALTRO Altro	httphandlenet11311686423	Complessita  Sostenibilita  Progetto  42012 ottobredicembre 2012	 Nebuloni																																		
2012	 ALTRO Altro	httphandlenet11311693222	 project SPREAD  Sustainable Lifestyles 2050 Deliverable  Visual material presenting emerging best practices  emerging visions  sustainable lifestyles	 Meroni  Piredda  Jegou  Corubolo																																		
2012	 ALTRO Altro	httphandlenet11311693227	 project SPREAD  Sustainable Lifestyles 2050 Deliverable  EUROPEAN POLICY BRIEF Emerging Visions  Future Sustainable Lifestyles 2050	 Meroni  Corubolo																																		
2012	 ALTRO Altro	httphandlenet11311693238	NUTRIRE MILANO  Relazione conclusiva anno 2011	 Meroni  Simeone  Corubolo  Cantu  Piredda  Arossa  Bolzacchini  Cecchini  Nasuelli  Fiorani  Corvo  Grimaldi  Migliorini  Scaltriti																																		
2012	 ALTRO Altro	httphandlenet11311693262	European Lifestyles  future issue  project SPREAD  Sustainable Lifestyles 2050	 Meroni  Piredda  Jegou  Corubolo  Hicks  Bruggermann  Groezinger  Thorne  Rijnhout  Lorek  Goicoechea  Neuvonen  Ritola  Lahteenoja  Straver  Uyterlinde  Tigchelaar   Schaefer  Salvador  Chiotan  Costongs  Monts  Jegou  Szuppinger  Csobod																																		
2012	 ALTRO Altro	httphandlenet11311693267	 cases  requirements list	 Rizzo  Oliva  Costa  alii																																		
2012	 ALTRO Altro	httphandlenet11311693936	Deliverable  Progetto Peripheria  Pilots scenarios initial version	 Concilio  Rizzo  alii																																		
2012	 ALTRO Altro	httphandlenet11311693937	  Training  learning report initial version Deliverable progetto europeo Peripheria	 Concilio Rizzo  alii																																		
2012	 ALTRO Altro	httphandlenet11311762464	Exotic orientation systems  gameplay devices	 Righi Riva  Vitali  Pillan																																		
2012	 ALTRO Altro	httphandlenet11311825730	Atelier     enables  creative models  innovate  fashion	Colombi Chiara Tolino Umberto																																		
2012	 ALTRO Progetti	httphandlenet113111019062	Cover mania	Mauri	 Michele																																	
2012	 ALTRO Progetti	httphandlenet11311667388	Concorso  idee   ricostruzione della Chiesa   Gregorio Magno  Italia	Rocchi  Groos  Docci  Bianchini  Roca  Amicis  Esposito  Bartolozzi  Bruschi  Gaiani  Santi  Casertano  Pierluisi																																		
2012	 ALTRO Progetti	httphandlenet11311669549	Concurso Paºblico Nacional  anteprojetos  arquitetura para  Campus Cabral  Universidade Federal  Parana  Curitiba	 Righi  Nebuloni  Carrea  Padovano  Blasi  Padovano																																		
2012	 ALTRO Progetti	httphandlenet11311764739	Fondazione Giorgio Cini Restauro  Cenacolo Palladiano Venezia	  Lucchi																																		
